task_index,round_index,step_index,agent_name,role_tokens,context_tokens,task_tokens,total_tokens
0,0,0,Analyst,78,0,35,113
0,0,1,Summarizer,78,0,1516,1594
0,0,2,Reviewer,86,0,693,779
0,1,0,Analyst,78,0,1452,1530
0,1,1,Summarizer,78,0,1155,1233
0,1,2,Reviewer,86,0,648,734
1,0,0,Analyst,78,0,32,110
1,0,1,Summarizer,78,0,1142,1220
1,0,2,Reviewer,86,0,675,761
1,1,0,Analyst,78,0,1133,1211
1,1,1,Summarizer,78,0,1595,1673
1,1,2,Reviewer,86,0,805,891
2,0,0,Analyst,78,0,29,107
2,0,1,Summarizer,78,0,1170,1248
2,0,2,Reviewer,86,0,530,616
2,1,0,Analyst,78,0,972,1050
2,1,1,Summarizer,78,0,1296,1374
2,1,2,Reviewer,86,0,261,347
